"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2023,"Freiburg","Bundesliga","Mark Flekken","NED","GK","29",1993,34,34,3060,34,44,1.29,150,106,74,17,8,9,13,38.2,6,5,0,1,0,"https://fbref.com/en/players/a92ab7be/Mark-Flekken"
2023,"Fulham","Premier League","Bernd Leno","GER","GK","30",1992,36,36,3240,36,51,1.42,192,142,77.1,15,5,16,8,22.2,8,7,1,0,12.5,"https://fbref.com/en/players/2628fd2b/Bernd-Leno"
2023,"Fulham","Premier League","Marek Rodák","SVK","GK","25",1996,2,2,180,2,2,1,4,2,50,0,2,0,1,50,0,0,0,0,NA,"https://fbref.com/en/players/17acc2ed/Marek-Rodak"
2023,"Getafe","La Liga","David Soria","ESP","GK","29",1993,38,38,3420,38,45,1.18,166,119,75.3,10,12,16,13,34.2,8,4,4,0,50,"https://fbref.com/en/players/8f8c6934/David-Soria"
2023,"Girona","La Liga","Juan Carlos","ESP","GK","34",1988,10,10,900,10,18,1.8,43,25,62.8,2,2,6,0,0,2,2,0,0,0,"https://fbref.com/en/players/688b96e3/Juan-Carlos"
2023,"Girona","La Liga","Paulo Gazzaniga","ARG","GK","30",1992,28,28,2520,28,37,1.32,125,87,73.6,11,8,9,4,14.3,6,4,1,1,20,"https://fbref.com/en/players/63d17038/Paulo-Gazzaniga"
2023,"Hellas Verona","Serie A","Lorenzo Montipò","ITA","GK","26",1996,37,37,3330,37,59,1.59,181,124,68,7,9,21,5,13.5,2,1,1,0,50,"https://fbref.com/en/players/c1d95617/Lorenzo-Montipo"
2023,"Hellas Verona","Serie A","Simone Perilli","ITA","GK","27",1995,1,1,90,1,0,0,4,4,100,0,1,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/b9e11c1d/Simone-Perilli"
2023,"Hertha BSC","Bundesliga","Oliver Christensen","DEN","GK","23",1999,33,33,2970,33,68,2.06,163,94,61.3,6,8,19,3,9.1,6,5,1,0,16.7,"https://fbref.com/en/players/af104654/Oliver-Christensen"
2023,"Hertha BSC","Bundesliga","Tjark Ernst","GER","GK","19",2003,1,1,90,1,1,1,7,6,85.7,1,0,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/3f6c3ae0/Tjark-Ernst"
