"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Url"
2023,"Angers","Ligue 1","Ousmane Camara","FRA","DF","19",2003,5.8,0,1,1,100,0.17,0.17,0,0,6.5,0,0,0,0.2,0.2,0.16,-0.2,-0.2,"https://fbref.com/en/players/7d3dfdfd/Ousmane-Camara"
2023,"Angers","Ligue 1","Pierrick Capelle","FRA","MF,DF","35",1987,15.9,0,16,7,43.8,1.01,0.44,0,0,17.6,0,0,0,1.5,1.5,0.1,-1.5,-1.5,"https://fbref.com/en/players/79b2399c/Pierrick-Capelle"
2023,"Angers","Ligue 1","Ilyes Cheti","ALG","DF","27",1995,2.3,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/9d498560/Ilyes-Cheti"
2023,"Angers","Ligue 1","Lois Diony","FRA","FW","29",1992,5.6,1,12,3,25,2.13,0.53,0.08,0.33,14.5,0,0,0,2.2,2.2,0.18,-1.2,-1.2,"https://fbref.com/en/players/4be0b467/Lois-Diony"
2023,"Angers","Ligue 1","Souleyman Doumbia","CIV","DF,FW","25",1996,19.9,0,7,2,28.6,0.35,0.1,0,0,16,0,0,0,1,1,0.14,-1,-1,"https://fbref.com/en/players/9daeac61/Souleyman-Doumbia"
2023,"Angers","Ligue 1","Yahia Fofana","FRA","GK","21",2000,11,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/9d420dad/Yahia-Fofana"
2023,"Angers","Ligue 1","Faouzi Ghoulam","ALG","DF","31",1991,5.3,0,1,0,0,0.19,0,0,NA,24.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,"https://fbref.com/en/players/c5adc293/Faouzi-Ghoulam"
2023,"Angers","Ligue 1","Cédric Hountondji","BEN","DF","28",1994,34.4,0,11,4,36.4,0.32,0.12,0,0,8.9,0,0,0,1.1,1.1,0.1,-1.1,-1.1,"https://fbref.com/en/players/00891164/Cedric-Hountondji"
2023,"Angers","Ligue 1","Adrien Hunou","FRA","MF,FW","28",1994,24.8,4,45,18,40,1.81,0.73,0.09,0.22,13.2,0,0,0,6.5,6.5,0.14,-2.5,-2.5,"https://fbref.com/en/players/d14229f3/Adrien-Hunou"
2023,"Angers","Ligue 1","Marin Jakoliš","CRO","FW","25",1996,0.3,0,2,1,50,6.43,3.21,0,0,12.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,"https://fbref.com/en/players/96f4ebc0/Marin-Jakolis"
2023,"Angers","Ligue 1","Justin-Noël Kalumba","FRA","DF","17",2004,6.1,0,2,0,0,0.33,0,0,NA,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,"https://fbref.com/en/players/32e2163d/Justin-Noel-Kalumba"
2023,"Angers","Ligue 1","Jean Mattéo Bahoya","FRA","FW,MF","17",2005,3,0,4,0,0,1.33,0,0,NA,15.4,0,0,0,0.5,0.5,0.13,-0.5,-0.5,"https://fbref.com/en/players/70d4c949/Jean-Matteo-Bahoya"
2023,"Angers","Ligue 1","Jason Mbock","FRA","MF,FW","22",1999,0.3,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/890bc029/Jason-Mbock"
2023,"Angers","Ligue 1","Farid El Melali","ALG","DF,FW","25",1997,9,0,11,2,18.2,1.23,0.22,0,0,18.8,0,0,0,1.1,1.1,0.1,-1.1,-1.1,"https://fbref.com/en/players/d21e361a/Farid-El-Melali"
2023,"Angers","Ligue 1","Batista Mendy","FRA","MF,DF","22",2000,31.8,0,15,2,13.3,0.47,0.06,0,0,24,0,0,0,0.9,0.9,0.06,-0.9,-0.9,"https://fbref.com/en/players/e472a6f6/Batista-Mendy"
2023,"Angers","Ligue 1","Ibrahima Niane","SEN","FW","23",1999,12.6,2,26,11,42.3,2.06,0.87,0.08,0.18,13.7,0,0,0,3.4,3.4,0.13,-1.4,-1.4,"https://fbref.com/en/players/46faabfa/Ibrahima-Niane"
2023,"Angers","Ligue 1","Zinédine Ould Khaled","FRA","MF,FW","22",2000,0.6,0,1,1,100,1.76,1.76,0,0,2.8,0,0,0,0.3,0.3,0.3,-0.3,-0.3,"https://fbref.com/en/players/6b4436ba/Zinedine-Ould-Khaled"
2023,"Angers","Ligue 1","Azzedine Ounahi","MAR","MF,FW","22",2000,12.5,0,23,6,26.1,1.83,0.48,0,0,19.8,1,0,0,1.8,1.8,0.08,-1.8,-1.8,"https://fbref.com/en/players/83299cc0/Azzedine-Ounahi"
