URL,GA,SOTA,SAVES,W,D,L,CS,PKATT_PENALTY,PKA_PENALTY,PKSV_PENALTY,PKM_PENALTY
https://fbref.com/en/players/c1d95617/Lorenzo-Montipo,59.0,181.0,124.0,7,9.0,21.0,5.0,2.0,1.0,1.0,0.0
https://fbref.com/en/players/c3e39f12/Fraser-Forster,24.0,55.0,30.0,5,3.0,5.0,3.0,3.0,2.0,1.0,0.0
https://fbref.com/en/players/c4173f1a/Vito-Mannone,24.0,84.0,60.0,4,6.0,7.0,5.0,1.0,1.0,0.0,0.0
https://fbref.com/en/players/c631f952/Jonas-Omlin,44.0,129.0,86.0,10,5.0,14.0,7.0,6.0,5.0,1.0,0.0
https://fbref.com/en/players/c91441dc/Gavin-Bazunu,56.0,120.0,67.0,6,6.0,20.0,4.0,2.0,1.0,1.0,0.0
https://fbref.com/en/players/cbac6ec9/Florian-Muller,34.0,87.0,53.0,3,7.0,9.0,1.0,1.0,1.0,0.0,0.0
https://fbref.com/en/players/cc1a0c57/Jeroen-Zoet,4.0,13.0,9.0,0,3.0,1.0,0.0,1.0,1.0,0.0,0.0
https://fbref.com/en/players/cc1c5035/Inaki-Pena,2.0,4.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/cd59b9df/Gregor-Kobel,32.0,119.0,88.0,19,3.0,5.0,11.0,1.0,1.0,0.0,0.0
https://fbref.com/en/players/cda0b317/Joel-Robles,11.0,27.0,16.0,0,1.0,3.0,0.0,3.0,2.0,0.0,1.0
https://fbref.com/en/players/cde52ef5/Ivan-Villar,24.0,62.0,38.0,6,5.0,8.0,4.0,4.0,3.0,0.0,1.0
https://fbref.com/en/players/ce17b5eb/Kevin-Trapp,51.0,130.0,80.0,13,10.0,10.0,6.0,2.0,2.0,0.0,0.0
https://fbref.com/en/players/d28339cb/Fabian-Bredlow,23.0,59.0,37.0,4,5.0,6.0,1.0,5.0,5.0,0.0,0.0
https://fbref.com/en/players/d3ce0e89/Danny-Ward,46.0,119.0,75.0,7,3.0,16.0,6.0,3.0,2.0,1.0,0.0
https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili,45.0,148.0,105.0,11,9.0,18.0,7.0,5.0,2.0,0.0,3.0
https://fbref.com/en/players/d7a35008/Nicola-Ravaglia,23.0,64.0,41.0,0,3.0,6.0,0.0,2.0,2.0,0.0,0.0
https://fbref.com/en/players/d9235a45/Diego-Marino,2.0,5.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/dabb2827/Fernando,61.0,193.0,132.0,11,8.0,18.0,4.0,6.0,4.0,1.0,1.0
https://fbref.com/en/players/db3164e1/Gauthier-Gallon,65.0,177.0,114.0,3,9.0,18.0,0.0,5.0,5.0,0.0,0.0
https://fbref.com/en/players/db401046/Koen-Casteels,48.0,147.0,101.0,13,10.0,11.0,12.0,7.0,4.0,1.0,2.0
https://fbref.com/en/players/db87a2c4/Marcin-Bulka,2.0,6.0,4.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/dc29b608/Yvon-Mvogo,29.0,98.0,70.0,11,4.0,6.0,3.0,1.0,1.0,0.0,0.0
https://fbref.com/en/players/dc366c36/Tomas-Koubek,22.0,65.0,45.0,1,4.0,6.0,1.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/dee3013b/Finn-Dahmen,16.0,44.0,26.0,3,2.0,3.0,0.0,3.0,1.0,2.0,0.0
https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano,38.0,96.0,59.0,9,8.0,12.0,5.0,7.0,6.0,1.0,0.0
https://fbref.com/en/players/e358587b/Pepe-Reina,27.0,87.0,61.0,13,3.0,6.0,5.0,4.0,4.0,0.0,0.0
https://fbref.com/en/players/e4346678/Edgar-Badia,63.0,200.0,136.0,5,10.0,21.0,4.0,10.0,7.0,3.0,0.0
https://fbref.com/en/players/e5a76dfe/Dean-Henderson,31.0,85.0,52.0,5,5.0,8.0,6.0,5.0,2.0,2.0,1.0
https://fbref.com/en/players/e66ebabb/Alex-Cordaz,0.0,2.0,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/e7ee38c3/Robin-Olsen,8.0,19.0,11.0,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
https://fbref.com/en/players/e9c0c1b2/Andre-Onana,24.0,83.0,61.0,14,3.0,7.0,8.0,2.0,2.0,0.0,0.0
https://fbref.com/en/players/ea83bfa6/Rui-Silva,32.0,104.0,73.0,12,4.0,10.0,9.0,2.0,2.0,0.0,0.0
https://fbref.com/en/players/ecada4fc/Keylor-Navas,32.0,83.0,51.0,4,4.0,9.0,1.0,4.0,4.0,0.0,0.0
https://fbref.com/en/players/edbe46dc/Jean-Louis-Leca,1.0,4.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/ee8508c0/Jan-Oblak,20.0,79.0,59.0,17,5.0,6.0,11.0,2.0,1.0,0.0,1.0
