URL,COMPL_STARTS,SUBS_SUBS,UNSUB_SUBS,PPM_TEAM.SUCCESS,ONG_TEAM.SUCCESS,ONGA_TEAM.SUCCESS,PLUS_PER__MINUS__TEAM.SUCCESS
https://fbref.com/en/players/109bd9ea/Leon-Reichardt,0,0,1,,0.0,0.0,0.0
https://fbref.com/en/players/10a10454/Joe-Rothwell,3,8,7,1.1,16.0,15.0,1.0
https://fbref.com/en/players/10b9fa99/Ethan-Ampadu,22,0,3,0.75,22.0,42.0,-20.0
https://fbref.com/en/players/10d221cd/Daniel-Iversen,12,0,26,0.83,14.0,22.0,-8.0
https://fbref.com/en/players/10dc46f0/Salvatore-Sirigu,1,0,22,3.0,2.0,0.0,2.0
https://fbref.com/en/players/10dd88f9/Gaetan-Perrin,0,22,0,0.92,15.0,25.0,-10.0
https://fbref.com/en/players/10e7f486/Rogerio,29,2,1,1.14,41.0,55.0,-14.0
https://fbref.com/en/players/10ec4169/Alexander-Mighten,0,1,5,0.0,0.0,0.0,0.0
https://fbref.com/en/players/10f0fdd3/Jean-Ricner-Bellegarde,18,1,0,1.07,37.0,45.0,-8.0
https://fbref.com/en/players/112521d1/Pedrosa,0,5,2,0.86,4.0,3.0,1.0
https://fbref.com/en/players/1137759d/Sergi-Canos,0,5,7,1.6,0.0,2.0,-2.0
https://fbref.com/en/players/1148323a/Eldin-Jakupovic,0,0,1,,0.0,0.0,0.0
https://fbref.com/en/players/114bbdee/Loic-Bade,16,3,6,2.42,26.0,17.0,9.0
https://fbref.com/en/players/117cd0a8/Morro,0,0,10,,0.0,0.0,0.0
https://fbref.com/en/players/11962fe7/Wajdi-Kechrida,0,0,2,,0.0,0.0,0.0
https://fbref.com/en/players/119b9a8e/Aymeric-Laporte,10,1,15,2.33,21.0,10.0,11.0
https://fbref.com/en/players/11b9265b/Alberto-Moreno,3,10,6,1.96,24.0,15.0,9.0
https://fbref.com/en/players/11f54bd5/Siriki-Dembele,0,14,12,0.75,3.0,6.0,-3.0
https://fbref.com/en/players/11fd2b75/Omar-Mascarell,25,0,0,0.46,18.0,52.0,-34.0
https://fbref.com/en/players/11ff3d56/Ibrahima-Diallo,4,7,12,0.83,5.0,19.0,-14.0
