URL,TOUCHES_TOUCHES,DEF PEN_TOUCHES,DEF 3RD_TOUCHES,MID 3RD_TOUCHES,ATT 3RD_TOUCHES,ATT PEN_TOUCHES,LIVE_TOUCHES,ATT_TAKE,SUCC_TAKE,TKLD_TAKE,CARRIES_CARRIES,TOTDIST_CARRIES,PRGDIST_CARRIES,PRGC_CARRIES,FINAL_THIRD_CARRIES,CPA_CARRIES,MIS_CARRIES,DIS_CARRIES,REC_RECEIVING,PRGR_RECEIVING
https://fbref.com/en/players/0810b6df/Patrick-Pentz,221.0,191.0,221.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,144.0,845.0,503.0,0.0,1.0,1.0,0.0,0.0,91.0,0.0
https://fbref.com/en/players/08511d65/Sergio-Ramos,2774.0,310.0,1061.0,1566.0,159.0,30.0,2774.0,14.0,5.0,6.0,2313.0,11550.0,5696.0,15.0,20.0,3.0,8.0,6.0,2186.0,10.0
https://fbref.com/en/players/08593525/Diadie-Samassekou,23.0,1.0,5.0,15.0,3.0,0.0,23.0,1.0,1.0,0.0,9.0,39.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0
https://fbref.com/en/players/085e71a7/Bartlomiej-Dragowski,1265.0,1027.0,1258.0,7.0,0.0,0.0,1265.0,0.0,0.0,0.0,757.0,4042.0,2471.0,0.0,0.0,0.0,0.0,0.0,646.0,0.0
https://fbref.com/en/players/088ca1bd/Jonathan-Schmid,34.0,2.0,8.0,15.0,11.0,2.0,34.0,1.0,1.0,0.0,10.0,39.0,16.0,1.0,0.0,1.0,1.0,0.0,18.0,6.0
https://fbref.com/en/players/089667a5/Lewis-OBrien,297.0,19.0,72.0,161.0,71.0,3.0,297.0,17.0,7.0,3.0,157.0,947.0,518.0,13.0,9.0,2.0,12.0,7.0,166.0,3.0
https://fbref.com/en/players/08aa9cd1/Andrea-Pinamonti,738.0,11.0,26.0,351.0,367.0,120.0,737.0,30.0,10.0,17.0,383.0,1470.0,443.0,17.0,11.0,11.0,60.0,56.0,567.0,166.0
https://fbref.com/en/players/08eb3b58/Matias-Vina,338.0,30.0,131.0,123.0,88.0,12.0,338.0,25.0,11.0,11.0,141.0,769.0,460.0,12.0,7.0,6.0,14.0,6.0,150.0,23.0
https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,1021.0,909.0,1016.0,6.0,0.0,0.0,1021.0,1.0,1.0,0.0,695.0,3076.0,1895.0,0.0,0.0,0.0,0.0,0.0,447.0,0.0
https://fbref.com/en/players/091c86e2/Felix-Nmecha,967.0,38.0,183.0,536.0,258.0,40.0,967.0,46.0,26.0,13.0,540.0,2356.0,1235.0,23.0,22.0,2.0,41.0,13.0,615.0,54.0
https://fbref.com/en/players/09538fdb/Kevin-Lasagna,482.0,15.0,62.0,182.0,249.0,67.0,482.0,38.0,13.0,18.0,267.0,1736.0,747.0,36.0,23.0,14.0,53.0,34.0,317.0,105.0
https://fbref.com/en/players/0959c2a2/Federico-Valverde,1870.0,35.0,229.0,857.0,800.0,54.0,1870.0,44.0,31.0,10.0,1190.0,6633.0,3349.0,70.0,68.0,8.0,21.0,7.0,1485.0,135.0
https://fbref.com/en/players/095e4199/Arber-Zeneli,602.0,7.0,55.0,220.0,339.0,56.0,602.0,60.0,17.0,38.0,430.0,3137.0,1348.0,45.0,28.0,29.0,47.0,23.0,398.0,118.0
https://fbref.com/en/players/0967845b/Fabiano-Parisi,2094.0,159.0,727.0,930.0,483.0,26.0,2094.0,129.0,64.0,47.0,1105.0,7030.0,4064.0,102.0,75.0,13.0,55.0,39.0,1113.0,68.0
https://fbref.com/en/players/09899de8/Simone-Romagnoli,100.0,20.0,56.0,43.0,2.0,2.0,100.0,0.0,0.0,0.0,44.0,159.0,69.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0
https://fbref.com/en/players/099e666f/Jonjoe-Kenny,1477.0,92.0,507.0,717.0,269.0,12.0,1477.0,23.0,12.0,7.0,661.0,2930.0,1466.0,30.0,24.0,5.0,25.0,8.0,709.0,59.0
https://fbref.com/en/players/0a084b35/Josip-Juranovic,553.0,33.0,154.0,215.0,194.0,10.0,552.0,11.0,7.0,4.0,216.0,996.0,435.0,11.0,3.0,2.0,6.0,3.0,224.0,33.0
https://fbref.com/en/players/0a0cc13c/Sergio-Leon,345.0,5.0,26.0,159.0,170.0,49.0,343.0,30.0,10.0,17.0,210.0,1122.0,563.0,21.0,16.0,6.0,45.0,17.0,242.0,75.0
https://fbref.com/en/players/0a16eb36/Jordi-Osei-Tutu,350.0,16.0,95.0,125.0,135.0,21.0,350.0,24.0,10.0,12.0,189.0,1639.0,758.0,25.0,13.0,8.0,25.0,11.0,169.0,39.0
https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka,1280.0,1137.0,1275.0,5.0,0.0,0.0,1280.0,1.0,0.0,1.0,663.0,3880.0,2157.0,0.0,2.0,2.0,1.0,0.0,521.0,0.0
https://fbref.com/en/players/0a3d6d2b/Chris-Richards,274.0,47.0,131.0,119.0,24.0,7.0,274.0,0.0,0.0,0.0,120.0,550.0,269.0,4.0,1.0,0.0,3.0,2.0,149.0,3.0
https://fbref.com/en/players/0a3f6cde/Christopher-Antwi-Adjei,996.0,7.0,102.0,304.0,605.0,63.0,996.0,80.0,31.0,39.0,525.0,3766.0,1485.0,67.0,49.0,20.0,89.0,32.0,560.0,231.0
