CLUB_NAME,PLAYER_NAME,PLAYER_HREF,LEAGUE_NAME,COUNTRY_LEAGUE,CURRENT_INTERNATIONAL,CURRENT_MARKET_VALUE
Liverpool FC,M. Frauendorf,https://www.transfermarkt.com/melkamu-frauendorf/profil/spieler/594721,Premier League,England,Germany,
Liverpool FC,L. Díaz,https://www.transfermarkt.com/luis-diaz/profil/spieler/480692,Premier League,England,Colombia,€75.00m
Liverpool FC,C. Gakpo,https://www.transfermarkt.com/cody-gakpo/profil/spieler/434675,Premier League,England,Netherlands,€55.00m
Liverpool FC,Diogo Jota,https://www.transfermarkt.com/diogo-jota/profil/spieler/340950,Premier League,England,Portugal,€50.00m
Liverpool FC,Mohamed Salah,https://www.transfermarkt.com/mohamed-salah/profil/spieler/148455,Premier League,England,Egypt,€65.00m
Liverpool FC,Ben Doak,https://www.transfermarkt.com/ben-doak/profil/spieler/719673,Premier League,England,Scotland,
Liverpool FC,D. Núñez,https://www.transfermarkt.com/darwin-nunez/profil/spieler/546543,Premier League,England,Uruguay,€65.00m
Liverpool FC,Roberto Firmino,https://www.transfermarkt.com/roberto-firmino/profil/spieler/131789,Premier League,England,Brazil,€18.00m
Liverpool FC,L. Stewart,https://www.transfermarkt.com/layton-stewart/profil/spieler/580801,Premier League,England,England,
Tottenham Hotspur,H. Lloris,https://www.transfermarkt.com/hugo-lloris/profil/spieler/17965,Premier League,England,France,€3.00m
Tottenham Hotspur,F. Forster,https://www.transfermarkt.com/fraser-forster/profil/spieler/52570,Premier League,England,England,€1.50m
Tottenham Hotspur,A. Whiteman,https://www.transfermarkt.com/alfie-whiteman/profil/spieler/282823,Premier League,England,England,€500k
Tottenham Hotspur,B. Austin,https://www.transfermarkt.com/brandon-austin/profil/spieler/428016,Premier League,England,England,€300k
Tottenham Hotspur,C. Romero,https://www.transfermarkt.com/cristian-romero/profil/spieler/355915,Premier League,England,Argentina,€60.00m
Tottenham Hotspur,Eric Dier,https://www.transfermarkt.com/eric-dier/profil/spieler/175722,Premier League,England,England,€18.00m
Tottenham Hotspur,D. Sánchez,https://www.transfermarkt.com/davinson-sanchez/profil/spieler/341429,Premier League,England,Colombia,€15.00m
Tottenham Hotspur,C. Lenglet,https://www.transfermarkt.com/clement-lenglet/profil/spieler/182904,Premier League,England,France,€10.00m
Tottenham Hotspur,J. Tanganga,https://www.transfermarkt.com/japhet-tanganga/profil/spieler/346478,Premier League,England,England,€7.00m
Tottenham Hotspur,B. Davies,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,Premier League,England,Wales,€15.00m
Tottenham Hotspur,P. Porro,https://www.transfermarkt.com/pedro-porro/profil/spieler/553875,Premier League,England,Spain,€40.00m
Tottenham Hotspur,Emerson Royal,https://www.transfermarkt.com/emerson-royal/profil/spieler/476344,Premier League,England,Brazil,€20.00m
