Url,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,PrgC_Progression,PrgP_Progression,PrgR_Progression
https://fbref.com/en/players/e7ee38c3/Robin-Olsen,4,2,281,3.1,0,0,0,0,0,0,0,0,0,0,0
https://fbref.com/en/players/1544f145/Jacob-Ramsey,35,31,2636,29.3,6,7,13,6,0,0,5,0,94,98,119
https://fbref.com/en/players/6e7f1353/Morgan-Sanson,2,0,11,0.1,0,0,0,0,0,0,0,0,0,1,0
https://fbref.com/en/players/c47541e0/Bertrand-Traore,8,1,233,2.6,2,0,2,2,0,0,1,0,9,9,28
https://fbref.com/en/players/aed3a70f/Ollie-Watkins,37,36,3127,34.7,15,6,21,14,1,2,4,0,50,39,196
https://fbref.com/en/players/be927d03/Ashley-Young,29,23,2036,22.6,1,0,1,1,0,0,7,0,29,107,33
https://fbref.com/en/players/fe012aca/Jeremie-Boga,23,5,782,8.7,2,5,7,2,0,0,0,0,64,53,78
https://fbref.com/en/players/7f9d956a/Tommaso-De-Nipoti,1,0,4,0,0,0,0,0,0,0,0,0,1,1,0
https://fbref.com/en/players/e3cceee6/Merih-Demiral,28,14,1536,17.1,1,0,1,1,0,0,5,0,3,26,4
https://fbref.com/en/players/6eee05f1/Berat-Djimsiti,24,20,1797,20,0,1,1,0,0,0,3,0,7,45,9
https://fbref.com/en/players/a9202def/Ederson,35,25,2215,24.6,1,1,2,1,0,0,4,0,37,93,62
https://fbref.com/en/players/3b333ac3/Hans-Hateboer,17,17,1397,15.5,1,1,2,1,0,0,7,0,16,55,73
https://fbref.com/en/players/491a433d/Rasmus-Hojlund,32,20,1834,20.4,9,2,11,9,0,0,1,0,40,37,224
https://fbref.com/en/players/a26fb8aa/Teun-Koopmeiners,33,32,2858,31.8,10,4,14,8,2,4,7,0,60,186,106
https://fbref.com/en/players/7c104bb7/Ademola-Lookman,31,20,1729,19.2,13,6,19,10,3,3,3,0,73,79,185
https://fbref.com/en/players/921f6058/Jose-Luis-Palomino,15,8,759,8.4,1,0,1,1,0,0,4,0,3,29,3
https://fbref.com/en/players/48d5bd33/Ruslan-Malinovskyi,15,5,553,6.1,1,2,3,1,0,0,2,0,19,50,36
https://fbref.com/en/players/eb2fe5b6/Luis-Muriel,29,10,1073,11.9,3,3,6,2,1,1,2,2,53,71,124
https://fbref.com/en/players/a111cf41/Juan-Musso,24,24,2077,23.1,0,0,0,0,0,0,1,0,0,0,0
https://fbref.com/en/players/c459a650/Joakim-Maehle,34,25,2209,24.5,3,3,6,3,0,0,5,1,81,137,186
https://fbref.com/en/players/8ec109e6/Caleb-Okoli,17,9,960,10.7,0,0,0,0,0,0,3,0,4,19,12
https://fbref.com/en/players/e599253a/Mario-Pasalic,32,24,1769,19.7,5,2,7,5,0,0,3,0,24,82,83
https://fbref.com/en/players/2a1beb34/Marten-de-Roon,35,34,2964,32.9,3,1,4,3,0,0,7,0,18,171,23
https://fbref.com/en/players/7b5f516f/Francesco-Rossi,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
https://fbref.com/en/players/ae9898c5/Matteo-Ruggeri,15,8,829,9.2,0,1,1,0,0,0,3,0,22,55,65
