Url,Sh_Standard,SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard
https://fbref.com/en/players/fbbc8e15/Noah-Joel-Sarenren-Bazee,0,0,NA,0,0,0
https://fbref.com/en/players/eb6e14be/Mergim-Berisha,51,13,18.7,6,3,4
https://fbref.com/en/players/d1273f09/Daniel-Caligiuri,6,2,19.8,0,0,0
https://fbref.com/en/players/5e080f73/Irvin-Cardona,9,4,13.9,0,0,0
https://fbref.com/en/players/dd5bbe0d/David-Colina,1,1,8.4,0,0,0
https://fbref.com/en/players/ed79b7d3/Ermedin-Demirovic,63,23,15.2,0,1,1
https://fbref.com/en/players/7f73bdf4/Niklas-Dorsch,0,0,NA,0,0,0
https://fbref.com/en/players/9a2e3a23/Dion-Drena-Beljo,13,5,15.2,0,0,0
https://fbref.com/en/players/554bcc91/Arne-Engels,17,2,26.8,2,0,0
https://fbref.com/en/players/677da306/Ohis-Felix-Uduokhai,4,1,9.5,0,0,0
https://fbref.com/en/players/626fab5f/Raphael-Framberger,0,0,NA,0,0,0
https://fbref.com/en/players/17376543/Rafal-Gikiewicz,0,0,NA,0,0,0
https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw,15,4,15.4,0,0,0
https://fbref.com/en/players/f2dd9a21/Carlos-Gruezo,2,0,32.1,0,0,0
https://fbref.com/en/players/1df0c0b9/Robert-Gumny,9,3,13.2,0,0,0
https://fbref.com/en/players/cd82452e/Andre-Hahn,7,2,21.4,0,0,0
https://fbref.com/en/players/054849d2/Iago,9,0,19.2,0,0,0
https://fbref.com/en/players/3eeb80e0/Fredrik-Jensen,11,3,16.6,0,0,0
https://fbref.com/en/players/dc366c36/Tomas-Koubek,0,0,NA,0,0,0
https://fbref.com/en/players/ab700320/Arne-Maier,28,10,21.1,3,0,0
https://fbref.com/en/players/46750e9c/Nathanael-Mbuku,0,0,NA,0,0,0
https://fbref.com/en/players/d6862409/Florian-Niederlechner,28,15,15.7,0,0,0
https://fbref.com/en/players/8b6e0db2/Reece-Oxford,0,0,NA,0,0,0
https://fbref.com/en/players/582a5247/Mads-Pedersen,9,0,23.3,1,0,0
https://fbref.com/en/players/a2b1ed42/Ricardo-Pepi,1,0,14.6,0,0,0
https://fbref.com/en/players/f503ef6e/Lukas-Petkov,2,0,29.6,0,0,0
https://fbref.com/en/players/1ae836b1/Elvis-Rexhbecaj,16,5,27,0,0,0
https://fbref.com/en/players/6ecbddf6/Ruben-Vargas,21,6,20.4,1,0,0
https://fbref.com/en/players/fc8fcbd1/Renato-Veiga,8,0,26.6,1,0,0
https://fbref.com/en/players/a1257b5e/Frederik-Winther,0,0,NA,0,0,0
https://fbref.com/en/players/ea0893d6/Kelvin-Yeboah,13,2,12.8,0,0,0
https://fbref.com/en/players/65bf7e2b/Aaron-Zehnter,0,0,NA,0,0,0
https://fbref.com/en/players/0e46fa2f/Matthis-Abline,24,8,20.6,0,1,2
https://fbref.com/en/players/7dfbba27/Mathias-Autret,23,11,25.4,1,1,1
https://fbref.com/en/players/5065d67d/Denys-Bain,0,0,NA,0,0,0
https://fbref.com/en/players/3916b09c/Quentin-Bernard,0,0,NA,0,0,0
https://fbref.com/en/players/c03b7266/Kenji-Van-Boto,3,0,24.6,0,0,0
https://fbref.com/en/players/5a6b06cd/Ousmane-Camara,1,0,11.1,0,0,0
https://fbref.com/en/players/18ebca4b/Gaetan-Charbonnier,7,1,23.2,0,0,0
https://fbref.com/en/players/c4065f40/Alexandre-Coeff,1,0,9.2,0,0,0
https://fbref.com/en/players/909222de/Nuno-da-Costa,39,14,15.7,0,0,0
https://fbref.com/en/players/2434f24a/Benoit-Costil,0,0,NA,0,0,0
https://fbref.com/en/players/e76f6fbe/Kevin-Danois,0,0,NA,0,0,0
https://fbref.com/en/players/11f54bd5/Siriki-Dembele,5,2,21.4,0,0,0
https://fbref.com/en/players/6d7ede84/Remy-Dugimont,4,1,27.6,0,0,0
https://fbref.com/en/players/563fcd6b/Gauthier-Hein,38,10,19.3,2,0,0
https://fbref.com/en/players/5cb215fc/Julian-Jeanvier,8,4,8.7,0,0,0
https://fbref.com/en/players/5b4bc323/Paul-Joly,7,0,23.5,0,0,0
https://fbref.com/en/players/56ae428b/Jubal,18,5,11.6,0,1,1
https://fbref.com/en/players/51c83a90/Donovan-Leon,0,0,NA,0,0,0
https://fbref.com/en/players/e05082d1/Youssouf-MChangama,18,2,30.3,7,0,0
https://fbref.com/en/players/eba1e557/Han-Noah-Massengo,13,1,18.9,0,0,0
https://fbref.com/en/players/9bdd8118/Gideon-Mensah,5,1,25.3,0,0,0
https://fbref.com/en/players/2054d037/MBaye-Niang,36,12,13.5,0,3,3
https://fbref.com/en/players/97fb4608/Theo-Pellenard,1,0,11.5,0,0,0
https://fbref.com/en/players/5c42e7ce/Brayann-Pereira,0,0,NA,0,0,0
https://fbref.com/en/players/10dd88f9/Gaetan-Perrin,26,9,21.2,0,1,1
https://fbref.com/en/players/67f649be/Ionut-Radu,0,0,NA,0,0,0
https://fbref.com/en/players/fb3236a7/Rayan-Raveloson,29,5,19.5,3,0,0
https://fbref.com/en/players/90a9cc01/Kays-Ruiz,0,0,NA,0,0,0
https://fbref.com/en/players/c9151d66/Hamza-Sakhi,30,9,24.1,2,0,0
https://fbref.com/en/players/5e5249c8/Lassine-Sinayoko,42,13,17.3,0,0,0
https://fbref.com/en/players/a4b798a9/Birama-Toure,25,7,26.1,0,0,1
https://fbref.com/en/players/01fd01e8/Souleymane-Toure,8,2,7.9,0,0,0
https://fbref.com/en/players/0ff630d0/Akim-Zedadka,9,0,19.6,0,0,0
https://fbref.com/en/players/455c26a4/Angel-Alarcon,1,1,NA,NA,0,0
https://fbref.com/en/players/4601e194/Jordi-Alba,13,4,23.3,0,0,0
https://fbref.com/en/players/f4290206/Marcos-Alonso,6,2,12,0,0,0
https://fbref.com/en/players/2bef2bca/Ronald-Araujo,18,1,13.1,0,0,0
https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang,1,0,12.4,0,0,0
https://fbref.com/en/players/5ccc9672/Alejandro-Balde,19,4,17.9,0,0,0
https://fbref.com/en/players/f874dd44/Hector-Bellerin,0,0,NA,0,0,0
https://fbref.com/en/players/5ab0ea87/Sergio-Busquets,9,2,23.5,0,0,0
https://fbref.com/en/players/1cb49278/Andreas-Christensen,10,5,12.2,0,0,0
https://fbref.com/en/players/b19db005/Ousmane-Dembele,49,16,16.7,0,0,0
https://fbref.com/en/players/0ba976e4/Ansu-Fati,61,18,15,3,0,0
https://fbref.com/en/players/2bed3eab/Eric-Garcia,7,1,12.9,0,0,0
https://fbref.com/en/players/5757adc3/Aleix-Garrido,0,0,NA,0,0,0
https://fbref.com/en/players/19cae58d/Gavi,28,8,16.6,0,0,0
https://fbref.com/en/players/1bacc518/Frenkie-de-Jong,18,10,17.8,0,0,0
https://fbref.com/en/players/05e19d6a/Franck-Kessie,15,3,15.9,0,0,0
https://fbref.com/en/players/4d1666ff/Jules-Kounde,14,1,14.3,0,0,0
https://fbref.com/en/players/8d78e732/Robert-Lewandowski,134,56,13.8,5,0,1
https://fbref.com/en/players/8f696594/Memphis,6,3,11.6,0,0,0
https://fbref.com/en/players/0d9b2d31/Pedri,22,9,15.9,0,0,0
https://fbref.com/en/players/cc1c5035/Inaki-Pena,0,0,NA,0,0,0
https://fbref.com/en/players/adfc9123/Gerard-Pique,3,0,8.9,0,0,0
https://fbref.com/en/players/3423f250/Raphinha,79,25,18.5,11,0,0
https://fbref.com/en/players/b3b9b8b8/Chadi-Riad,0,0,NA,0,0,0
https://fbref.com/en/players/335fa267/Sergi-Roberto,18,6,15.6,0,0,0
https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen,0,0,NA,0,0,0
