Url,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success
https://fbref.com/en/players/da77b0e7/Endri-Muhameti,NA,NA,NA,NA
https://fbref.com/en/players/eb2fe5b6/Luis-Muriel,1.59,20,15,5
https://fbref.com/en/players/a111cf41/Juan-Musso,1.79,41,27,14
https://fbref.com/en/players/c459a650/Joakim-Maehle,1.62,39,33,6
https://fbref.com/en/players/8ec109e6/Caleb-Okoli,1.76,19,10,9
https://fbref.com/en/players/1f1828dd/Marco-Palestra,NA,NA,NA,NA
https://fbref.com/en/players/e599253a/Mario-Pasalic,1.69,33,24,9
https://fbref.com/en/players/79da1dbf/Iacopo-Regonesi,NA,NA,NA,NA
https://fbref.com/en/players/2a1beb34/Marten-de-Roon,1.74,57,40,17
https://fbref.com/en/players/7b5f516f/Francesco-Rossi,3,1,0,1
https://fbref.com/en/players/ae9898c5/Matteo-Ruggeri,1.67,19,13,6
https://fbref.com/en/players/1e9aa637/Giorgio-Scalvini,1.75,46,35,11
https://fbref.com/en/players/28f66c2e/Brandon-Soppy,1.53,10,9,1
https://fbref.com/en/players/ac4003af/Marco-Sportiello,1.6,24,21,3
https://fbref.com/en/players/c56dc39e/Rafael-Toloi,1.88,54,36,18
https://fbref.com/en/players/f052fb01/Lukas-Vorlicky,0.33,1,1,0
https://fbref.com/en/players/d3de9af0/Duvan-Zapata,1.68,18,20,-2
https://fbref.com/en/players/7fe90ccd/Davide-Zappacosta,1.81,34,22,12
https://fbref.com/en/players/82598b71/Nadir-Zortea,2.22,6,3,3
https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala,0.75,5,6,-1
https://fbref.com/en/players/3ecc11d8/Yeray-Alvarez,1.5,33,30,3
https://fbref.com/en/players/1fe67e86/Mikel-Balenziaga,1,1,3,-2
https://fbref.com/en/players/b6e50615/Yuri-Berchiche,1.1,23,32,-9
https://fbref.com/en/players/dc1c2fce/Alex-Berenguer,1.3,30,33,-3
https://fbref.com/en/players/f530605b/Junior-Bita,NA,NA,NA,NA
https://fbref.com/en/players/37f1cf47/Ander-Capa,1.43,2,0,2
https://fbref.com/en/players/a461f098/Malcom-Abdulai-Ares-Djalo,0.63,1,3,-2
https://fbref.com/en/players/240d3a0b/Dani-Garcia,1.44,24,19,5
https://fbref.com/en/players/b418dbd4/Raul-Garcia,1.29,12,13,-1
https://fbref.com/en/players/37db6cae/Unai-Gomez,NA,NA,NA,NA
https://fbref.com/en/players/6b5ea2f4/Gorka-Guruzeta,1.23,16,16,0
https://fbref.com/en/players/436a9dd0/Ander-Herrera,1.47,10,10,0
https://fbref.com/en/players/a30a31ee/Iru,NA,NA,NA,NA
https://fbref.com/en/players/59b7d823/Inigo-Lekue,1.35,26,15,11
https://fbref.com/en/players/9f323c71/Oscar-de-Marcos,1.3,41,34,7
https://fbref.com/en/players/3fc45c73/Inigo-Martinez,1.8,25,16,9
https://fbref.com/en/players/b7d7f3bf/Jon-Morcillo,2.2,1,1,0
https://fbref.com/en/players/c05dfb74/Iker-Muniain,1.43,29,18,11
https://fbref.com/en/players/857cb4f3/Peru-Nolaskoain,NA,NA,NA,NA
https://fbref.com/en/players/b906757a/Aitor-Paredes,1.25,9,18,-9
https://fbref.com/en/players/bdb624a3/Oihan-Sancet,1.39,38,29,9
https://fbref.com/en/players/5dcf3e90/Unai-Simon,1.45,42,37,5
https://fbref.com/en/players/4112ace5/Unai-Vencedor-Paris,1.4,2,7,-5
https://fbref.com/en/players/b0fce72c/Mikel-Vesga,1.33,32,30,2
https://fbref.com/en/players/57be54ec/Asier-Villalibre,1.6,2,0,2
https://fbref.com/en/players/ab7bf91d/Daniel-Vivian,1.31,28,24,4
https://fbref.com/en/players/6a99e0b1/Inaki-Williams,1.33,37,35,2
https://fbref.com/en/players/afdc14d7/Nico-Williams,1.42,43,30,13
https://fbref.com/en/players/968a1c2f/Oier-Zarraga,1.23,3,13,-10
https://fbref.com/en/players/45736cec/Pablo-Barrios,2.05,13,9,4
https://fbref.com/en/players/792aa857/Diego-Bri,NA,NA,NA,NA
https://fbref.com/en/players/de39485a/Yannick-Carrasco,2.06,43,25,18
https://fbref.com/en/players/c7b0a5ce/Adrian-Corral,NA,NA,NA,NA
https://fbref.com/en/players/01eb744d/Angel-Correa,1.94,29,15,14
https://fbref.com/en/players/dc62b55d/Matheus-Cunha,1.82,10,6,4
https://fbref.com/en/players/162efffd/Rodrigo-De-Paul,2.07,40,20,20
https://fbref.com/en/players/255f7a08/Sergio-Diez-Roldan,NA,NA,NA,NA
https://fbref.com/en/players/d557d734/Matt-Doherty,3,1,0,1
https://fbref.com/en/players/51a3c4c8/Felipe,0.33,1,3,-2
https://fbref.com/en/players/8aafd64f/Joao-Felix,1.86,11,8,3
https://fbref.com/en/players/73df4173/Aitor-Gismera,NA,NA,NA,NA
https://fbref.com/en/players/f0f4671c/Antonio-Gomis,1,0,1,-1
https://fbref.com/en/players/3f034750/Ivo-Grbic,1.92,28,13,15
https://fbref.com/en/players/df69b544/Antoine-Griezmann,2.03,61,29,32
https://fbref.com/en/players/555f3a0b/Mario-Hermoso,2.19,52,19,33
https://fbref.com/en/players/d58f4c7a/Alejandro-Iturbe,NA,NA,NA,NA
https://fbref.com/en/players/d068118b/Salim-El-Jebari,NA,NA,NA,NA
https://fbref.com/en/players/55126f3b/Koke,2.18,53,24,29
https://fbref.com/en/players/cce181df/Geoffrey-Kondogbia,2.1,15,11,4
https://fbref.com/en/players/9b94c838/Ilias-Kostis,NA,NA,NA,NA
https://fbref.com/en/players/4dbd0916/Thomas-Lemar,2,27,10,17
https://fbref.com/en/players/02c15616/Marcos-Llorente,2,28,11,17
https://fbref.com/en/players/ed9f7cfe/Renan-Lodi,NA,NA,NA,NA
https://fbref.com/en/players/c20bdcd7/Reinildo-Mandava,1.77,29,17,12
https://fbref.com/en/players/f0da930c/Jose-Maria-Gimenez,2.21,52,21,31
https://fbref.com/en/players/64035864/Carlos-Martin,1.75,1,1,0
https://fbref.com/en/players/8f696594/Memphis,2.75,9,1,8
https://fbref.com/en/players/b2cd9dff/Sergio-Mestre,NA,NA,NA,NA
https://fbref.com/en/players/23610943/Nahuel-Molina,2.03,58,28,30
https://fbref.com/en/players/129af0db/Alvaro-Morata,2.03,40,10,30
https://fbref.com/en/players/f2099034/Alberto-Moreno,NA,NA,NA,NA
https://fbref.com/en/players/9602ef3b/Marco-Moreno,NA,NA,NA,NA
https://fbref.com/en/players/c14bc029/Saul-Niguez,2.26,28,14,14
https://fbref.com/en/players/ee8508c0/Jan-Oblak,2,42,20,22
https://fbref.com/en/players/16ec501b/Abdellah-Raihani,NA,NA,NA,NA
https://fbref.com/en/players/3353737a/Sergio-Reguilon,1.36,5,2,3
https://fbref.com/en/players/f6ac68c1/Stefan-Savic,1.86,33,17,16
https://fbref.com/en/players/5dfc6ad5/Axel-Witsel,2.03,59,27,32
https://fbref.com/en/players/44a20f0c/Maximilian-Bauer,1.11,25,41,-16
https://fbref.com/en/players/69374ff5/Julian-Baumgartlinger,0.69,11,17,-6
https://fbref.com/en/players/fbbc8e15/Noah-Joel-Sarenren-Bazee,1.5,0,0,0
https://fbref.com/en/players/eb6e14be/Mergim-Berisha,1.22,24,32,-8
https://fbref.com/en/players/d1273f09/Daniel-Caligiuri,0.85,2,10,-8
https://fbref.com/en/players/5e080f73/Irvin-Cardona,0.4,6,9,-3
https://fbref.com/en/players/dd5bbe0d/David-Colina,0.14,1,6,-5
https://fbref.com/en/players/ed79b7d3/Ermedin-Demirovic,1,32,47,-15
https://fbref.com/en/players/7f73bdf4/Niklas-Dorsch,1.18,4,11,-7
https://fbref.com/en/players/9a2e3a23/Dion-Drena-Beljo,1.06,18,27,-9
https://fbref.com/en/players/554bcc91/Arne-Engels,1.06,18,32,-14
https://fbref.com/en/players/677da306/Ohis-Felix-Uduokhai,0.95,18,27,-9
https://fbref.com/en/players/626fab5f/Raphael-Framberger,0.33,2,6,-4
https://fbref.com/en/players/17376543/Rafal-Gikiewicz,1.17,28,41,-13
https://fbref.com/en/players/ee7cdd0c/Felix-Gotze,NA,NA,NA,NA
https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw,1.03,39,56,-17
https://fbref.com/en/players/f2dd9a21/Carlos-Gruezo,1.08,15,17,-2
https://fbref.com/en/players/1df0c0b9/Robert-Gumny,1.14,30,42,-12
https://fbref.com/en/players/cd82452e/Andre-Hahn,1.71,6,6,0
https://fbref.com/en/players/054849d2/Iago,1.09,26,30,-4
https://fbref.com/en/players/3eeb80e0/Fredrik-Jensen,1.2,13,17,-4
https://fbref.com/en/players/cc7c1706/Daniel-Katic,NA,NA,NA,NA
https://fbref.com/en/players/ab679ecf/Daniel-Klein,NA,NA,NA,NA
https://fbref.com/en/players/ec68a918/Mert-Komur,NA,NA,NA,NA
https://fbref.com/en/players/dc366c36/Tomas-Koubek,0.64,14,22,-8
https://fbref.com/en/players/96ad92d4/Josue-Emanuel-Mbila,NA,NA,NA,NA
https://fbref.com/en/players/ab700320/Arne-Maier,0.9,23,44,-21
https://fbref.com/en/players/0674ebf1/Maurice-Malone,NA,NA,NA,NA
https://fbref.com/en/players/46750e9c/Nathanael-Mbuku,0,1,0,1
https://fbref.com/en/players/d6862409/Florian-Niederlechner,1.07,15,15,0
https://fbref.com/en/players/8b6e0db2/Reece-Oxford,0.33,0,1,-1
https://fbref.com/en/players/582a5247/Mads-Pedersen,0.96,26,36,-10
https://fbref.com/en/players/a2b1ed42/Ricardo-Pepi,0.75,0,3,-3
https://fbref.com/en/players/f503ef6e/Lukas-Petkov,0.57,0,3,-3
https://fbref.com/en/players/1ae836b1/Elvis-Rexhbecaj,1,34,47,-13
https://fbref.com/en/players/6ecbddf6/Ruben-Vargas,0.7,20,20,0
https://fbref.com/en/players/fc8fcbd1/Renato-Veiga,1,5,16,-11
https://fbref.com/en/players/a1257b5e/Frederik-Winther,0,2,3,-1
https://fbref.com/en/players/ea0893d6/Kelvin-Yeboah,1.23,3,2,1
